time,body,x,y,z,vx,vy,vz,energy_error,angular_momentum_error
511000,Body3,-2221844.87777729,-5411283.034265665,0,43.10101398494608,-46.84810295090805,0,2.386805953156441e-10,6.96720239382812e-15
512000,Body1,1041568.344280559,-5985661.072092185,0,16.07386350848231,0.1535428377723322,0,2.413727693944646e-10,6.314027169406733e-15
512000,Body2,-1147783.973881846,6120242.661849515,0,-16.76103347528065,0.3154862244681503,0,2.413727693944646e-10,6.314027169406733e-15
512000,Body3,-2178437.039864127,-5458158.975747696,0,43.71699667982689,-46.90290622408697,0,2.413727693944646e-10,6.314027169406733e-15
513000,Body1,1057635.1484367,-5985485.345052137,0,16.05970253054288,0.1978907040603212,0,2.440732280127767e-10,4.572226570949704e-15
513000,Body2,-1164541.087017849,6120536.215310609,0,-16.75317461903647,0.2716317491349323,0,2.440732280127767e-10,4.572226570949704e-15
513000,Body3,-2134406.141877643,-5505087.025861799,0,44.34720884934976,-46.95224531956415,0,2.440732280127767e-10,4.572226570949704e-15
514000,Body1,1073687.664126405,-5985265.332563612,0,16.04528587700473,0.2421129076420658,0,2.46781669914599e-10,5.22540179537109e-15
514000,Body2,-1181290.286845516,6120785.947466391,0,-16.74520692868278,0.2278436361732337,0,2.46781669914599e-10,5.22540179537109e-15
514000,Body3,-2089737.728081303,-5552061.490292642,0,44.99210516779875,-46.99565438156875,0,2.46781669914599e-10,5.22540179537109e-15
515000,Body1,1089725.63355723,-5985001.162828876,0,16.03060929279344,0.2862043096931947,0,2.494785134611329e-10,4.789951645756833e-15
515000,Body2,-1198031.464740784,6120991.924745805,0,-16.73713082417034,0.1841220183253648,0,2.494785134611329e-10,4.789951645756833e-15
515000,Body3,-2044416.881636977,-5599076.191707772,0,45.65215313768257,-47.03263280189476,0,2.494785134611329e-10,4.789951645756833e-15
516000,Body1,1105748.794617936,-5984692.96937263,0,16.01566839585233,0.3301593995522841,0,2.521539678329792e-10,5.22540179537109e-15
